matchup,baseline_type,game_number,llm_side,winner,llm_won,baseline_won,draw,illegal_move,fallback_uses_this_game,llm_moves_this_game,llm_total_latency_seconds,llm_avg_latency_seconds
LLM vs Random,Random,80,O,O,True,False,False,False,0,5,3.0506,0.6101
LLM vs Random,Random,81,O,X,False,True,False,False,0,3,1.835,0.6117
LLM vs Random,Random,82,O,O,True,False,False,False,0,4,2.4866,0.6217
LLM vs Random,Random,83,O,O,True,False,False,False,0,9,4.3332,0.4815
LLM vs Random,Random,84,O,X,False,True,False,False,0,12,5.9588,0.4966
LLM vs Random,Random,85,O,O,True,False,False,False,0,13,7.2831,0.5602
LLM vs Random,Random,86,O,O,True,False,False,False,0,5,2.4868,0.4974
LLM vs Random,Random,87,O,O,True,False,False,False,0,6,3.3002,0.55
LLM vs Random,Random,88,O,X,False,True,False,False,0,3,2.055,0.685
LLM vs Random,Random,89,O,O,True,False,False,False,0,4,2.0787,0.5197
LLM vs Random,Random,90,O,X,False,True,False,False,0,7,4.1851,0.5979
LLM vs Random,Random,91,O,X,False,True,False,False,0,10,5.2214,0.5221
LLM vs Random,Random,92,O,O,True,False,False,False,0,4,1.6184,0.4046
LLM vs Random,Random,93,O,O,True,False,False,False,0,5,3.1269,0.6254
LLM vs Random,Random,94,O,X,False,True,False,False,0,10,4.3842,0.4384
LLM vs Random,Random,95,O,X,False,True,False,False,0,11,6.1243,0.5568
LLM vs Random,Random,96,O,O,True,False,False,False,0,5,2.6104,0.5221
LLM vs Random,Random,97,O,O,True,False,False,False,0,7,4.1608,0.5944
LLM vs Random,Random,98,O,O,True,False,False,False,0,5,2.3137,0.4627
LLM vs Random,Random,99,O,O,True,False,False,False,0,5,2.9377,0.5875
LLM vs Random,Random,100,O,O,True,False,False,False,0,9,4.6715,0.5191
LLM vs Heuristic,Heuristic,1,X,O,False,True,False,False,0,10,6.3028,0.6303
LLM vs Heuristic,Heuristic,2,X,O,False,True,False,False,0,10,6.194,0.6194
LLM vs Heuristic,Heuristic,3,X,O,False,True,False,False,0,10,5.2454,0.5245
LLM vs Heuristic,Heuristic,4,X,O,False,True,False,False,0,10,5.4015,0.5402
LLM vs Heuristic,Heuristic,5,X,O,False,True,False,False,0,10,6.3897,0.639
LLM vs Heuristic,Heuristic,6,X,O,False,True,False,False,0,10,5.4572,0.5457
LLM vs Heuristic,Heuristic,7,X,O,False,True,False,False,0,10,5.9723,0.5972
LLM vs Heuristic,Heuristic,8,X,O,False,True,False,False,0,10,5.1724,0.5172
LLM vs Heuristic,Heuristic,9,X,O,False,True,False,False,0,10,5.6793,0.5679
LLM vs Heuristic,Heuristic,10,X,O,False,True,False,False,0,10,6.3858,0.6386
LLM vs Heuristic,Heuristic,11,X,O,False,True,False,False,0,10,5.1452,0.5145
LLM vs Heuristic,Heuristic,12,X,O,False,True,False,False,0,10,7.3244,0.7324
LLM vs Heuristic,Heuristic,13,X,O,False,True,False,False,0,10,5.8557,0.5856
LLM vs Heuristic,Heuristic,14,X,O,False,True,False,False,0,10,6.3585,0.6359
LLM vs Heuristic,Heuristic,15,X,O,False,True,False,False,0,10,4.6933,0.4693
LLM vs Heuristic,Heuristic,16,X,O,False,True,False,False,0,10,5.8313,0.5831
LLM vs Heuristic,Heuristic,17,X,O,False,True,False,False,0,10,5.7152,0.5715
LLM vs Heuristic,Heuristic,18,X,O,False,True,False,False,0,10,5.8837,0.5884
LLM vs Heuristic,Heuristic,19,X,O,False,True,False,False,0,10,6.8948,0.6895
LLM vs Heuristic,Heuristic,20,X,O,False,True,False,False,0,10,6.6461,0.6646
LLM vs Heuristic,Heuristic,21,X,O,False,True,False,False,0,10,5.4508,0.5451
LLM vs Heuristic,Heuristic,22,X,O,False,True,False,False,0,10,7.1933,0.7193
LLM vs Heuristic,Heuristic,23,X,O,False,True,False,False,0,10,5.486,0.5486
LLM vs Heuristic,Heuristic,24,X,O,False,True,False,False,0,10,5.4265,0.5427
LLM vs Heuristic,Heuristic,25,X,O,False,True,False,False,0,10,6.4923,0.6492
LLM vs Heuristic,Heuristic,26,X,O,False,True,False,False,0,10,6.1713,0.6171
LLM vs Heuristic,Heuristic,27,X,O,False,True,False,False,0,10,5.8085,0.5809
LLM vs Heuristic,Heuristic,28,X,O,False,True,False,False,0,10,5.7117,0.5712
LLM vs Heuristic,Heuristic,29,X,O,False,True,False,False,0,10,5.5307,0.5531
LLM vs Heuristic,Heuristic,30,X,O,False,True,False,False,0,10,5.7506,0.5751
LLM vs Heuristic,Heuristic,31,X,O,False,True,False,False,0,10,6.1632,0.6163
LLM vs Heuristic,Heuristic,32,X,O,False,True,False,False,0,10,5.7944,0.5794
LLM vs Heuristic,Heuristic,33,X,O,False,True,False,False,0,10,5.8555,0.5855
LLM vs Heuristic,Heuristic,34,X,O,False,True,False,False,0,10,5.9346,0.5935
LLM vs Heuristic,Heuristic,35,X,O,False,True,False,False,0,10,5.1925,0.5193
LLM vs Heuristic,Heuristic,36,X,O,False,True,False,False,0,10,6.2145,0.6214
LLM vs Heuristic,Heuristic,37,X,O,False,True,False,False,0,10,6.146,0.6146
LLM vs Heuristic,Heuristic,38,X,O,False,True,False,False,0,10,5.6238,0.5624
LLM vs Heuristic,Heuristic,39,X,O,False,True,False,False,0,10,5.9912,0.5991
LLM vs Heuristic,Heuristic,40,X,O,False,True,False,False,0,10,6.2163,0.6216
LLM vs Heuristic,Heuristic,41,X,O,False,True,False,False,0,10,5.4447,0.5445
LLM vs Heuristic,Heuristic,42,X,O,False,True,False,False,0,10,6.7284,0.6728
LLM vs Heuristic,Heuristic,43,X,O,False,True,False,False,0,10,6.8491,0.6849
LLM vs Heuristic,Heuristic,44,X,O,False,True,False,False,0,10,5.6508,0.5651
LLM vs Heuristic,Heuristic,45,X,O,False,True,False,False,0,10,7.0452,0.7045
LLM vs Heuristic,Heuristic,46,X,O,False,True,False,False,0,10,6.8684,0.6868
LLM vs Heuristic,Heuristic,47,X,O,False,True,False,False,0,10,7.7022,0.7702
LLM vs Heuristic,Heuristic,48,X,O,False,True,False,False,0,10,5.7465,0.5746
LLM vs Heuristic,Heuristic,49,X,O,False,True,False,False,0,10,5.9192,0.5919
LLM vs Heuristic,Heuristic,50,X,O,False,True,False,False,0,10,5.2436,0.5244
LLM vs Heuristic,Heuristic,51,X,O,False,True,False,False,0,10,6.8483,0.6848
LLM vs Heuristic,Heuristic,52,X,O,False,True,False,False,0,10,6.2516,0.6252
LLM vs Heuristic,Heuristic,53,X,O,False,True,False,False,0,10,5.4253,0.5425
LLM vs Heuristic,Heuristic,54,X,O,False,True,False,False,0,10,4.4934,0.4493
LLM vs Heuristic,Heuristic,55,X,O,False,True,False,False,0,10,5.2403,0.524
LLM vs Heuristic,Heuristic,56,X,O,False,True,False,False,0,10,5.6832,0.5683
LLM vs Heuristic,Heuristic,57,X,O,False,True,False,False,0,10,5.6004,0.56
LLM vs Heuristic,Heuristic,58,X,O,False,True,False,False,0,10,5.5618,0.5562
LLM vs Heuristic,Heuristic,59,X,O,False,True,False,False,0,10,5.1406,0.5141
LLM vs Heuristic,Heuristic,60,X,O,False,True,False,False,0,10,4.9632,0.4963
LLM vs Heuristic,Heuristic,61,X,O,False,True,False,False,0,10,5.3901,0.539
LLM vs Heuristic,Heuristic,62,X,O,False,True,False,False,0,10,4.7765,0.4777
LLM vs Heuristic,Heuristic,63,X,O,False,True,False,False,0,10,4.8075,0.4807
LLM vs Heuristic,Heuristic,64,X,O,False,True,False,False,0,10,5.2997,0.53
LLM vs Heuristic,Heuristic,65,X,O,False,True,False,False,0,10,5.6228,0.5623
LLM vs Heuristic,Heuristic,66,X,O,False,True,False,False,0,10,5.1358,0.5136
LLM vs Heuristic,Heuristic,67,X,O,False,True,False,False,0,10,5.5052,0.5505
LLM vs Heuristic,Heuristic,68,X,O,False,True,False,False,0,10,4.9792,0.4979
LLM vs Heuristic,Heuristic,69,X,O,False,True,False,False,0,10,5.2264,0.5226
LLM vs Heuristic,Heuristic,70,X,O,False,True,False,False,0,10,5.2468,0.5247
LLM vs Heuristic,Heuristic,71,X,O,False,True,False,False,0,10,5.2401,0.524
LLM vs Heuristic,Heuristic,72,X,O,False,True,False,False,0,10,4.7805,0.4781
LLM vs Heuristic,Heuristic,73,X,O,False,True,False,False,0,10,5.3581,0.5358
LLM vs Heuristic,Heuristic,74,X,O,False,True,False,False,0,10,6.0543,0.6054
LLM vs Heuristic,Heuristic,75,X,O,False,True,False,False,0,10,5.4746,0.5475
LLM vs Heuristic,Heuristic,76,X,O,False,True,False,False,0,10,4.8693,0.4869
LLM vs Heuristic,Heuristic,77,X,O,False,True,False,False,0,10,5.1211,0.5121
LLM vs Heuristic,Heuristic,78,X,O,False,True,False,False,0,10,5.7244,0.5724
LLM vs Heuristic,Heuristic,79,X,O,False,True,False,False,0,10,5.8404,0.584
LLM vs Heuristic,Heuristic,80,X,O,False,True,False,False,0,10,6.1062,0.6106
LLM vs Heuristic,Heuristic,81,X,O,False,True,False,False,0,10,6.5384,0.6538
LLM vs Heuristic,Heuristic,82,X,O,False,True,False,False,0,10,5.511,0.5511
LLM vs Heuristic,Heuristic,83,X,O,False,True,False,False,0,10,6.6594,0.6659
LLM vs Heuristic,Heuristic,84,X,O,False,True,False,False,0,10,5.0963,0.5096
LLM vs Heuristic,Heuristic,85,X,O,False,True,False,False,0,10,6.4496,0.645
LLM vs Heuristic,Heuristic,86,X,O,False,True,False,False,0,10,6.4663,0.6466
LLM vs Heuristic,Heuristic,87,X,O,False,True,False,False,0,10,4.6553,0.4655
LLM vs Heuristic,Heuristic,88,X,O,False,True,False,False,0,10,5.0426,0.5043
LLM vs Heuristic,Heuristic,89,X,O,False,True,False,False,0,10,5.0617,0.5062
LLM vs Heuristic,Heuristic,90,X,O,False,True,False,False,0,10,6.3091,0.6309
LLM vs Heuristic,Heuristic,91,X,O,False,True,False,False,0,10,5.8079,0.5808
LLM vs Heuristic,Heuristic,92,X,O,False,True,False,False,0,10,6.3323,0.6332
LLM vs Heuristic,Heuristic,93,X,O,False,True,False,False,0,10,5.5395,0.554
LLM vs Heuristic,Heuristic,94,X,O,False,True,False,False,0,10,6.6062,0.6606
LLM vs Heuristic,Heuristic,95,X,O,False,True,False,False,0,10,5.5798,0.558
LLM vs Heuristic,Heuristic,96,X,O,False,True,False,False,0,10,5.9744,0.5974
LLM vs Heuristic,Heuristic,97,X,O,False,True,False,False,0,10,5.9463,0.5946
LLM vs Heuristic,Heuristic,98,X,O,False,True,False,False,0,10,6.039,0.6039
LLM vs Heuristic,Heuristic,99,X,O,False,True,False,False,0,10,5.6735,0.5673
LLM vs Heuristic,Heuristic,100,X,O,False,True,False,False,0,10,6.5021,0.6502
LLM vs Heuristic,Heuristic,1,O,X,False,True,False,False,0,6,3.837,0.6395
LLM vs Heuristic,Heuristic,2,O,X,False,True,False,False,0,6,3.266,0.5443
LLM vs Heuristic,Heuristic,3,O,X,False,True,False,False,0,6,3.2754,0.5459
LLM vs Heuristic,Heuristic,4,O,X,False,True,False,False,0,6,3.7862,0.631
LLM vs Heuristic,Heuristic,5,O,X,False,True,False,False,0,6,3.2819,0.547
LLM vs Heuristic,Heuristic,6,O,X,False,True,False,False,0,6,3.2973,0.5496
LLM vs Heuristic,Heuristic,7,O,X,False,True,False,False,0,6,3.4934,0.5822
LLM vs Heuristic,Heuristic,8,O,X,False,True,False,False,0,6,2.6549,0.4425
LLM vs Heuristic,Heuristic,9,O,X,False,True,False,False,0,6,3.2979,0.5497
LLM vs Heuristic,Heuristic,10,O,X,False,True,False,False,0,6,3.4145,0.5691
LLM vs Heuristic,Heuristic,11,O,X,False,True,False,False,0,6,3.4247,0.5708
LLM vs Heuristic,Heuristic,12,O,X,False,True,False,False,0,6,3.6195,0.6032
LLM vs Heuristic,Heuristic,13,O,X,False,True,False,False,0,6,3.3966,0.5661
LLM vs Heuristic,Heuristic,14,O,X,False,True,False,False,0,6,3.0914,0.5152
LLM vs Heuristic,Heuristic,15,O,X,False,True,False,False,0,6,3.4479,0.5747
LLM vs Heuristic,Heuristic,16,O,X,False,True,False,False,0,6,4.0246,0.6708
LLM vs Heuristic,Heuristic,17,O,X,False,True,False,False,0,6,3.4442,0.574
LLM vs Heuristic,Heuristic,18,O,X,False,True,False,False,0,6,2.721,0.4535
LLM vs Heuristic,Heuristic,19,O,X,False,True,False,False,0,6,3.2755,0.5459
LLM vs Heuristic,Heuristic,20,O,X,False,True,False,False,0,6,3.1096,0.5183
LLM vs Heuristic,Heuristic,21,O,X,False,True,False,False,0,6,3.7221,0.6204
LLM vs Heuristic,Heuristic,22,O,X,False,True,False,False,0,6,2.9892,0.4982
LLM vs Heuristic,Heuristic,23,O,X,False,True,False,False,0,6,3.5358,0.5893
LLM vs Heuristic,Heuristic,24,O,X,False,True,False,False,0,6,3.6728,0.6121
LLM vs Heuristic,Heuristic,25,O,X,False,True,False,False,0,6,2.9051,0.4842
LLM vs Heuristic,Heuristic,26,O,X,False,True,False,False,0,6,4.1073,0.6845
LLM vs Heuristic,Heuristic,27,O,X,False,True,False,False,0,6,3.3553,0.5592
LLM vs Heuristic,Heuristic,28,O,X,False,True,False,False,0,6,3.1707,0.5285
LLM vs Heuristic,Heuristic,29,O,X,False,True,False,False,0,6,3.4098,0.5683
LLM vs Heuristic,Heuristic,30,O,X,False,True,False,False,0,6,2.6048,0.4341
LLM vs Heuristic,Heuristic,31,O,X,False,True,False,False,0,6,3.8799,0.6467
LLM vs Heuristic,Heuristic,32,O,X,False,True,False,False,0,6,3.2699,0.545
LLM vs Heuristic,Heuristic,33,O,X,False,True,False,False,0,6,3.0233,0.5039
LLM vs Heuristic,Heuristic,34,O,X,False,True,False,False,0,6,3.1263,0.5211
LLM vs Heuristic,Heuristic,35,O,X,False,True,False,False,0,6,4.4532,0.7422
